,Job Category,Job Title,Company Name,Location,Summary,Date,URL
394,Business Intelligence,Senior System Analyst / SA,Seamatch Asia,Hong Kong,"Solid experience in data warehousing, ETL, business intelligence, forms & reporting. SAS / Business Analytics....",30+ days ago,https://www.indeed.hk/rc/clk?jk=7542e59fd8d3fd82&fccid=f4b6db984c9a7118&vjs=3
395,Business Intelligence,Senior Consultant - Investigations,Volt,Hong Kong,Business intelligence to support decisions during transactions. Our client is a leading consultancy now looking for senior consultants to join the growing Risk ...,30+ days ago,https://www.indeed.hk/rc/clk?jk=7c114030b59a166b&fccid=86c0b4fa6c1398be&vjs=3
396,Business Intelligence,"Regional IT Program Manager (Digital, CRM etc. )",Michael Page,Hong Kong,Identify the business needs and opportunities for new projects within the retail business. For multiple business units and regions....,30+ days ago,https://www.indeed.hk/rc/clk?jk=dded6d0fb00e80ca&fccid=77087bd1709a8148&vjs=3
397,Business Intelligence,"research coordinator, 18-20k (open to fresh grad)",Randstad,Hong Kong,Our client is a global company providing business intelligence and advisory services for top tier clients across financial and consultancy sectors....,30+ days ago,https://www.indeed.hk/rc/clk?jk=8c2f884feba4a3c1&fccid=f8b265243da9f9d7&vjs=3
398,Business Intelligence,Financial Analyst | Luxury Retail | Western Culture,Spencer Ogden,Hong Kong,"Assist with Retail KPI project, data mining and business intelligence. Perform advanced financial modelling, profitability analysis, and other ad-hoc analysis...",30+ days ago,https://www.indeed.hk/rc/clk?jk=7749eef9a1878544&fccid=9c692bd8d7645987&vjs=3
399,Business Intelligence,Marketing Executive,Page Personnel,Hong Kong,"Degree holder in Marketing/Communications/Journalism/Business Intelligence. With their experiences and sophisticated business, our client has strong client base...",30+ days ago,https://www.indeed.hk/rc/clk?jk=a659b7d456473c1b&fccid=e5ea1ff710ce39ca&vjs=3
400,Business Intelligence,financial conference producer - 40-55k,Randstad,Hong Kong,A global business intelligence and financial consulting firm is looking to hire an ambitious and driven individual with financial research experience into their...,,https://www.indeed.hk/rc/clk?jk=4dc4445f84e2c3af&fccid=f8b265243da9f9d7&vjs=3
401,Business Intelligence,Analyst Programmer (BI/ Cognos),NeoMas Professional Services,Hong Kong,"Solid experience Business Intelligence System and data integration with proven skills in data modeling, complex data querying. 2 yrs Experience....",,https://www.indeed.hk/rc/clk?jk=d320c5b315918429&fccid=64c11f6ac82d674b&vjs=3
402,Business Intelligence,researcher - financial conference 18-22k,Randstad,Hong Kong,"Our client is a global company providing business intelligence, advisory and consulting services. About the company....",,https://www.indeed.hk/rc/clk?jk=5ff9422f38ef67bb&fccid=f8b265243da9f9d7&vjs=3
403,Business Intelligence,business development manager - market research company 40-60k,Randstad,Hong Kong,The company is one of the leading market research and business intelligence companies in the globe. Junior candidate would be considered for the Business...,,https://www.indeed.hk/rc/clk?jk=a9a6a95db82bccbf&fccid=f8b265243da9f9d7&vjs=3
409,Business Intelligence,Senior Delivery Consultant - Hotel Industry (Japanese speaking)-- Based in Hong Kong,W-Consulting Company Ltd.,Hong Kong,"Must be proficiency in MS SQL, business intelligence applications such as Cognos Report; Our client is one of the largest Global Vendor of enterprise...",30+ days ago,https://www.indeed.hk/rc/clk?jk=ee7d35265516c3e3&fccid=ddb41feb743aaf23&vjs=3
410,Business Intelligence,Marketing Executive,Michael Page,Hong Kong,"Degree holder in Marketing/Communications/Journalism/Business Intelligence. With their experiences and sophisticated business, our client has strong client base...",30+ days ago,https://www.indeed.hk/rc/clk?jk=219af3f54c2195b5&fccid=77087bd1709a8148&vjs=3
411,Business Intelligence,Salesforce Developer - Innovative global leading company,Michael Page,Kowloon,"Sound knowledge in business intelligence tools or related technologies. In addition, you will also be required to involve in business intelligence projects, for...",30+ days ago,https://www.indeed.hk/rc/clk?jk=40c964e808cbb4d1&fccid=77087bd1709a8148&vjs=3
412,Business Intelligence,"sales manager,business intelligence and information,600-900k",Randstad,Hong Kong,Market leading business intelligence and information provider. The company is a well-established B2B business intelligence and information services provider....,30+ days ago,https://www.indeed.hk/rc/clk?jk=9901fc2aad105af3&fccid=f8b265243da9f9d7&vjs=3
